person_id,true_best_party,n_train,n_items_asked_50,obs_top1,obs_top3,obs_mae_mean,pred_top1,pred_top3,pred_mae_mean,obs_mae_CDU,obs_mae_DIE LINKE,obs_mae_Die Grünen,obs_mae_FDP,obs_mae_SPD,obs_mae_bunt.saar,pred_mae_CDU,pred_mae_DIE LINKE,pred_mae_Die Grünen,pred_mae_FDP,pred_mae_SPD,pred_mae_bunt.saar
4593,bunt.saar,300,19,0.0,0.0,7.482811759127549,0.0,1.0,4.222972972972976,0.6756756756756772,2.5248933143669916,9.58392603129446,8.143669985775247,13.495732574679948,10.472972972972968,4.729729729729726,0.6756756756756914,2.3648648648648702,6.081081081081081,4.391891891891895,7.0945945945945965
1052,SPD,300,19,1.0,0.0,6.650071123755336,1.0,1.0,1.970720720720723,1.8492176386913215,0.37339971550498063,12.428876244665723,3.3250355618776624,12.215504978662878,9.708392603129454,0.6756756756756701,2.3648648648648702,2.702702702702709,1.013513513513523,4.729729729729726,0.3378378378378386
44,FDP,300,19,1.0,1.0,5.162399241346606,1.0,1.0,1.1824324324324316,9.850640113798008,2.3826458036984306,2.044807965860592,8.321479374110943,6.063300142247513,2.3115220483641536,1.0135135135135087,2.7027027027027017,0.6756756756756701,1.0135135135135158,1.3513513513513544,0.3378378378378386
1276,bunt.saar,300,19,0.0,0.0,4.720839260312945,1.0,1.0,0.9009009009009054,0.1955903271692776,5.7254623044096675,0.07112375533426984,2.1692745376955926,13.015647226173549,7.147937411095313,0.6756756756756772,1.689189189189193,1.6891891891892072,0.0,0.6756756756756772,0.6756756756756772
2600,bunt.saar,300,19,1.0,1.0,6.581910858226649,1.0,1.0,2.702702702702703,7.02347083926032,7.432432432432435,3.8229018492176436,3.271692745376953,12.837837837837839,5.1031294452347,1.3513513513513544,1.689189189189193,6.081081081081081,3.0405405405405403,3.0405405405405332,1.0135135135135158
3862,SPD,300,19,0.0,0.0,5.144618302513039,0.0,0.0,3.1531531531531543,8.463726884779518,6.561166429587473,3.0049786628734054,0.4800853485063925,7.948079658605984,4.409672830725462,1.3513513513513473,0.6756756756756701,5.405405405405411,4.391891891891895,6.418918918918926,0.6756756756756772
1732,SPD,300,19,1.0,0.0,4.454125177809387,1.0,0.0,4.5045045045045065,1.795874822190612,8.214793741109531,4.960881934566139,4.960881934566139,4.036273115220482,2.7560455192034183,2.364864864864863,3.7162162162162176,4.054054054054056,3.378378378378386,3.0405405405405403,10.472972972972975
3897,Die Grünen,300,19,1.0,0.0,6.6589615931721164,0.0,1.0,1.0135135135135123,3.2539118065433854,1.7069701280227676,6.987908961593163,8.392603129445234,12.304409672830715,7.3079658605974345,0.3378378378378386,2.3648648648648702,0.675675675675663,1.689189189189186,0.6756756756756772,0.3378378378378386
926,bunt.saar,300,19,1.0,0.0,4.560810810810814,1.0,1.0,1.0698198198198139,0.2489331436699942,0.3911806543385552,8.481507823613093,2.507112375533424,9.743954480796589,5.992176386913229,0.3378378378378386,1.3513513513513402,1.3513513513513402,0.6756756756756701,2.364864864864856,0.3378378378378386
3490,FDP,300,19,1.0,1.0,3.5206258890469386,1.0,1.0,2.9279279279279287,2.5426742532005733,1.9203413940255984,2.364864864864863,7.645803698435266,2.9694167852062563,3.6806543385490755,0.6756756756756843,3.378378378378379,2.7027027027027017,3.0405405405405332,2.702702702702709,5.067567567567565
3581,CDU,300,19,1.0,0.0,3.6925082977714503,1.0,0.0,1.6891891891891906,3.3250355618776624,1.5825035561877598,2.2403982930298625,3.8584637268847715,8.534850640113788,2.6137980085348573,0.3378378378378386,1.013513513513523,0.3378378378378386,2.0270270270270316,4.054054054054049,2.364864864864863
4554,CDU,300,19,1.0,0.0,2.9901612138454254,0.0,1.0,1.9144144144144153,1.6002844950213415,3.733997155049792,1.3157894736842124,5.95661450924608,3.9651493598862046,1.3691322901849219,1.6891891891891788,1.689189189189193,2.0270270270270316,2.702702702702716,3.0405405405405403,0.3378378378378315
3105,CDU,300,19,1.0,0.0,5.1801801801801775,1.0,0.0,1.9707207207207216,1.5291607396870575,1.5647226173541924,9.70839260312944,7.3790896159317185,4.818634423897571,6.081081081081088,2.702702702702709,5.4054054054054035,1.0135135135135087,2.0270270270270245,0.0,0.6756756756756843
2293,FDP,300,19,1.0,1.0,6.741939307728779,1.0,1.0,3.209459459459459,11.397581792318633,3.271692745376953,10.117354196301566,3.4317211948790884,6.952347083926028,5.28093883357041,3.378378378378379,2.0270270270270245,3.716216216216214,0.6756756756756772,4.054054054054049,5.405405405405411
